date,investment,index_value,shares_bought,total_invested,total_shares
2018-01-01,1000.000000,1000.000000,1.000000,1000.000000,1.000000
2018-02-01,1000.000000,802.314103,1.246395,2000.000000,2.246395
2018-03-01,1000.000000,705.388584,1.417658,3000.000000,3.664053
2018-04-01,1000.000000,422.248299,2.368275,4000.000000,6.032328
2018-05-01,1000.000000,656.520806,1.523181,5000.000000,7.555509
2018-06-01,1000.000000,520.463328,1.921365,6000.000000,9.476874
2018-07-01,1000.000000,414.973284,2.409794,7000.000000,11.886667
2018-08-01,1000.000000,455.954764,2.193200,8000.000000,14.079867
2018-09-01,1000.000000,378.446839,2.642379,9000.000000,16.722246
2018-10-01,1000.000000,371.283966,2.693356,10000.000000,19.415603
2018-11-01,1000.000000,339.968098,2.941452,11000.000000,22.357055
2018-12-01,1000.000000,214.441849,4.663269,12000.000000,27.020324
2019-01-01,1000.000000,204.198206,4.897203,13000.000000,31.917527
2019-02-01,1000.000000,185.340889,5.395463,14000.000000,37.312990
2019-03-01,1000.000000,211.585415,4.726224,15000.000000,42.039214
2019-04-01,1000.000000,237.493431,4.210643,16000.000000,46.249857
2019-05-01,1000.000000,285.772544,3.499286,17000.000000,49.749143
2019-06-01,1000.000000,460.490302,2.171598,18000.000000,51.920742
2019-07-01,1000.000000,530.718175,1.884239,19000.000000,53.804981
2019-08-01,1000.000000,467.360788,2.139675,20000.000000,55.944655
2019-09-01,1000.000000,422.290846,2.368036,21000.000000,58.312692
2019-10-01,1000.000000,373.452340,2.677718,22000.000000,60.990409
2019-11-01,1000.000000,415.739390,2.405353,23000.000000,63.395762
2019-12-01,1000.000000,343.930023,2.907568,24000.000000,66.303331
2020-01-01,1000.000000,320.657846,3.118589,25000.000000,69.421920
2020-02-01,1000.000000,433.574204,2.306410,26000.000000,71.728330
2020-03-01,1000.000000,412.048621,2.426898,27000.000000,74.155228
2020-04-01,1000.000000,300.446401,3.328381,28000.000000,77.483609
2020-05-01,1000.000000,405.653371,2.465159,29000.000000,79.948767
2020-06-01,1000.000000,442.309573,2.260860,30000.000000,82.209627
2020-07-01,1000.000000,429.345541,2.329126,31000.000000,84.538754
2020-08-01,1000.000000,557.417648,1.793987,32000.000000,86.332741
2020-09-01,1000.000000,620.131168,1.612562,33000.000000,87.945303
2020-10-01,1000.000000,549.445996,1.820015,34000.000000,89.765318
2020-11-01,1000.000000,650.880128,1.536381,35000.000000,91.301699
2020-12-01,1000.000000,960.447231,1.041182,36000.000000,92.342881
2021-01-01,1000.000000,1276.554057,0.783359,37000.000000,93.126240
2021-02-01,1000.000000,1634.522041,0.611800,38000.000000,93.738039
2021-03-01,1000.000000,2262.960042,0.441899,39000.000000,94.179938
2021-04-01,1000.000000,3004.047108,0.332884,40000.000000,94.512823
2021-05-01,1000.000000,3536.349687,0.282777,41000.000000,94.795600
2021-06-01,1000.000000,2607.890713,0.383452,42000.000000,95.179052
2021-07-01,1000.000000,2271.050700,0.440325,43000.000000,95.619377
2021-08-01,1000.000000,2569.942679,0.389114,44000.000000,96.008490
2021-09-01,1000.000000,3298.156547,0.303200,45000.000000,96.311690
2021-10-01,1000.000000,3010.723484,0.332146,46000.000000,96.643836
2021-11-01,1000.000000,4170.283656,0.239792,47000.000000,96.883628
2021-12-01,1000.000000,4099.952522,0.243905,48000.000000,97.127533
2022-01-01,1000.000000,3371.243553,0.296626,49000.000000,97.424160
2022-02-01,1000.000000,2606.496603,0.383657,50000.000000,97.807816
2022-03-01,1000.000000,2870.864015,0.348327,51000.000000,98.156143
2022-04-01,1000.000000,3140.288889,0.318442,52000.000000,98.474586
2022-05-01,1000.000000,2528.746000,0.395453,53000.000000,98.870038
