date,investment,index_value,shares_bought,total_invested,total_shares
2018-01-01,1000.000000,1000.000000,1.000000,1000.000000,1.000000
2018-02-01,1000.000000,717.665478,1.393407,2000.000000,2.393407
2018-03-01,1000.000000,734.138894,1.362140,3000.000000,3.755547
2018-04-01,1000.000000,494.924784,2.020509,4000.000000,5.776056
2018-05-01,1000.000000,652.649788,1.532215,5000.000000,7.308271
2018-06-01,1000.000000,529.329861,1.889181,6000.000000,9.197452
2018-07-01,1000.000000,451.729607,2.213714,7000.000000,11.411166
2018-08-01,1000.000000,549.060961,1.821291,8000.000000,13.232457
2018-09-01,1000.000000,498.639657,2.005456,9000.000000,15.237914
2018-10-01,1000.000000,470.144941,2.127004,10000.000000,17.364917
2018-11-01,1000.000000,451.745262,2.213637,11000.000000,19.578554
2018-12-01,1000.000000,284.504146,3.514887,12000.000000,23.093442
2019-01-01,1000.000000,262.000467,3.816787,13000.000000,26.910229
2019-02-01,1000.000000,243.510670,4.106596,14000.000000,31.016825
2019-03-01,1000.000000,270.733223,3.693673,15000.000000,34.710498
2019-04-01,1000.000000,291.161928,3.434515,16000.000000,38.145013
2019-05-01,1000.000000,375.546447,2.662786,17000.000000,40.807799
2019-06-01,1000.000000,608.477763,1.643445,18000.000000,42.451245
2019-07-01,1000.000000,772.555763,1.294405,19000.000000,43.745650
2019-08-01,1000.000000,714.011424,1.400538,20000.000000,45.146188
2019-09-01,1000.000000,681.677116,1.466970,21000.000000,46.613158
2019-10-01,1000.000000,586.882475,1.703919,22000.000000,48.317076
2019-11-01,1000.000000,649.360004,1.539978,23000.000000,49.857054
2019-12-01,1000.000000,536.157825,1.865122,24000.000000,51.722177
2020-01-01,1000.000000,510.526083,1.958764,25000.000000,53.680940
2020-02-01,1000.000000,660.445576,1.514129,26000.000000,55.195070
2020-03-01,1000.000000,606.870138,1.647799,27000.000000,56.842869
2020-04-01,1000.000000,455.646698,2.194683,28000.000000,59.037552
2020-05-01,1000.000000,610.960410,1.636767,29000.000000,60.674319
2020-06-01,1000.000000,671.720298,1.488715,30000.000000,62.163034
2020-07-01,1000.000000,649.210816,1.540332,31000.000000,63.703365
2020-08-01,1000.000000,803.594968,1.244408,32000.000000,64.947773
2020-09-01,1000.000000,828.199924,1.207438,33000.000000,66.155211
2020-10-01,1000.000000,764.238812,1.308492,34000.000000,67.463703
2020-11-01,1000.000000,977.651626,1.022859,35000.000000,68.486562
2020-12-01,1000.000000,1391.377074,0.718712,36000.000000,69.205275
2021-01-01,1000.000000,2059.261248,0.485611,37000.000000,69.690886
2021-02-01,1000.000000,2346.084091,0.426242,38000.000000,70.117128
2021-03-01,1000.000000,3190.820065,0.313399,39000.000000,70.430527
2021-04-01,1000.000000,4173.337215,0.239616,40000.000000,70.670143
2021-05-01,1000.000000,4103.173340,0.243714,41000.000000,70.913857
2021-06-01,1000.000000,2649.476441,0.377433,42000.000000,71.291290
2021-07-01,1000.000000,2495.563182,0.400711,43000.000000,71.692001
2021-08-01,1000.000000,2962.631717,0.337538,44000.000000,72.029539
2021-09-01,1000.000000,3358.644871,0.297739,45000.000000,72.327278
2021-10-01,1000.000000,3112.001539,0.321337,46000.000000,72.648615
2021-11-01,1000.000000,4361.684642,0.229269,47000.000000,72.877884
2021-12-01,1000.000000,4045.187379,0.247207,48000.000000,73.125091
2022-01-01,1000.000000,3286.571822,0.304268,49000.000000,73.429360
2022-02-01,1000.000000,2735.675468,0.365540,50000.000000,73.794900
2022-03-01,1000.000000,3067.022175,0.326049,51000.000000,74.120949
2022-04-01,1000.000000,3230.429776,0.309556,52000.000000,74.430506
2022-05-01,1000.000000,2683.529647,0.372644,53000.000000,74.803149
2022-06-01,1000.000000,2261.007420,0.442281,54000.000000,75.245430
2022-07-01,1000.000000,1391.297326,0.718754,55000.000000,75.964183
2022-08-01,1000.000000,1658.886955,0.602814,56000.000000,76.566997
2022-09-01,1000.000000,1420.754437,0.703851,57000.000000,77.270849
2022-10-01,1000.000000,1381.968919,0.723605,58000.000000,77.994454
2022-11-01,1000.000000,1454.177164,0.687674,59000.000000,78.682128
2022-12-01,1000.000000,1219.453812,0.820039,60000.000000,79.502167
2023-01-01,1000.000000,1173.630982,0.852057,61000.000000,80.354224
2023-02-01,1000.000000,1641.689301,0.609129,62000.000000,80.963353
2023-03-01,1000.000000,1642.982100,0.608649,63000.000000,81.572002
2023-04-01,1000.000000,2023.384437,0.494221,64000.000000,82.066223
2023-05-01,1000.000000,2083.359964,0.479994,65000.000000,82.546217
2023-06-01,1000.000000,1933.179689,0.517282,66000.000000,83.063500
2023-07-01,1000.000000,2162.738173,0.462377,67000.000000,83.525877
2023-08-01,1000.000000,2074.212564,0.482111,68000.000000,84.007987
2023-09-01,1000.000000,1839.658032,0.543579,69000.000000,84.551567
2023-10-01,1000.000000,1913.624842,0.522568,70000.000000,85.074135
2023-11-01,1000.000000,2460.143078,0.406480,71000.000000,85.480615
2023-12-01,1000.000000,2675.810304,0.373719,72000.000000,85.854334
2024-01-01,1000.000000,2994.847428,0.333907,73000.000000,86.188241
2024-02-01,1000.000000,3021.459592,0.330966,74000.000000,86.519207
2024-03-01,1000.000000,4349.363339,0.229919,75000.000000,86.749125
2024-04-01,1000.000000,5055.267420,0.197813,76000.000000,86.946939
2024-05-01,1000.000000,4310.427616,0.231996,77000.000000,87.178934
2024-06-01,1000.000000,4787.628578,0.208872,78000.000000,87.387806
2024-07-01,1000.000000,4451.266066,0.224655,79000.000000,87.612461
2024-08-01,1000.000000,4589.299207,0.217898,80000.000000,87.830359
2024-09-01,1000.000000,4183.473918,0.239036,81000.000000,88.069395
2024-10-01,1000.000000,4487.373323,0.222848,82000.000000,88.292243
2024-11-01,1000.000000,4985.593695,0.200578,83000.000000,88.492821
2024-12-01,1000.000000,6848.008711,0.146028,84000.000000,88.638849
