date,investment,index_value,shares_bought,total_invested,total_shares
2018-01-01,1000.000000,1000.000000,1.000000,1000.000000,1.000000
2018-02-01,1000.000000,798.907671,1.251709,2000.000000,2.251709
2018-03-01,1000.000000,704.717573,1.419008,3000.000000,3.670717
2018-04-01,1000.000000,421.510223,2.372422,4000.000000,6.043139
2018-05-01,1000.000000,652.721867,1.532046,5000.000000,7.575185
2018-06-01,1000.000000,517.964926,1.930633,6000.000000,9.505818
2018-07-01,1000.000000,413.712985,2.417135,7000.000000,11.922952
2018-08-01,1000.000000,454.775750,2.198886,8000.000000,14.121838
2018-09-01,1000.000000,377.917989,2.646077,9000.000000,16.767915
2018-10-01,1000.000000,370.905746,2.696103,10000.000000,19.464018
2018-11-01,1000.000000,339.054318,2.949380,11000.000000,22.413398
2018-12-01,1000.000000,214.277842,4.666838,12000.000000,27.080236
2019-01-01,1000.000000,204.193440,4.897317,13000.000000,31.977553
2019-02-01,1000.000000,185.217954,5.399045,14000.000000,37.376597
2019-03-01,1000.000000,211.155746,4.735841,15000.000000,42.112438
2019-04-01,1000.000000,235.763858,4.241532,16000.000000,46.353971
2019-05-01,1000.000000,285.071720,3.507889,17000.000000,49.861860
2019-06-01,1000.000000,460.468602,2.171701,18000.000000,52.033560
2019-07-01,1000.000000,532.071763,1.879446,19000.000000,53.913006
2019-08-01,1000.000000,468.871612,2.132780,20000.000000,56.045786
2019-09-01,1000.000000,424.197125,2.357395,21000.000000,58.403181
2019-10-01,1000.000000,374.956504,2.666976,22000.000000,61.070157
2019-11-01,1000.000000,417.650940,2.394344,23000.000000,63.464501
2019-12-01,1000.000000,345.146544,2.897320,24000.000000,66.361821
2020-01-01,1000.000000,321.792041,3.107597,25000.000000,69.469418
2020-02-01,1000.000000,435.401260,2.296732,26000.000000,71.766150
2020-03-01,1000.000000,413.287842,2.419621,27000.000000,74.185771
2020-04-01,1000.000000,301.385425,3.318010,28000.000000,77.503781
2020-05-01,1000.000000,406.866350,2.457810,29000.000000,79.961591
2020-06-01,1000.000000,443.064403,2.257008,30000.000000,82.218599
2020-07-01,1000.000000,429.405352,2.328802,31000.000000,84.547401
2020-08-01,1000.000000,557.224356,1.794609,32000.000000,86.342010
2020-09-01,1000.000000,614.544823,1.627221,33000.000000,87.969231
2020-10-01,1000.000000,546.174182,1.830918,34000.000000,89.800149
2020-11-01,1000.000000,650.093268,1.538241,35000.000000,91.338389
2020-12-01,1000.000000,958.779764,1.042992,36000.000000,92.381382
2021-01-01,1000.000000,1276.331425,0.783496,37000.000000,93.164877
