date,coin_id,price,volume,market_cap,timestamp,rank
2019-10-15,bitcoin,8347.350350085451,17384052860.807076,150188449071.35995,1571097600000,1
2019-10-15,ethereum,186.61606753146776,6948746949.167441,20182332549.589005,1571097600000,2
2019-10-15,ripple,0.295899760508824,1921364554.520583,12773042023.41355,1571097600000,3
2019-10-15,bitcoin-cash,227.95972156426896,1350169721.7971523,4115117881.833894,1571097600000,4
2019-10-15,litecoin,56.80576148307711,1798244573.7648325,3605353985.3066874,1571097600000,5
2019-10-15,tether,1.0003875909379374,20481025331.244766,3562469746.356078,1571097600000,6
2019-10-15,eos,3.1611975054273307,1645094599.2457578,3257663033.2074513,1571097600000,7
2019-10-15,binancecoin,18.404843678815887,232507149.3381101,2867379837.7550764,1571097600000,8
2019-10-15,bitcoin-cash-sv,87.0661808795328,299630673.97872144,1570286747.330108,1571097600000,9
2019-10-15,stellar,0.0648468288855638,213499768.92991644,1299030176.667929,1571097600000,10
2019-10-15,cardano,0.0416455006940889,56982292.81645836,1295121948.591349,1571097600000,11
2019-10-15,tron,0.0166853800303026,694450161.2107542,1101605212.9254775,1571097600000,12
2019-10-15,leo-token,0.9790674857625764,9837556.940054994,971830313.6766976,1571097600000,13
2019-10-15,chainlink,2.531401574734596,103939116.59325312,922166541.5652192,1571097600000,14
2019-10-15,monero,52.87820724630921,89162468.20048171,912597141.1155488,1571097600000,15
2019-10-15,iota,0.283622838950513,7639615.104612109,788028897.0583136,1571097600000,16
2019-10-15,cosmos,3.0999730163356434,175037171.70111793,762921136.7018214,1571097600000,17
2019-10-15,tezos,0.9373223654832956,18687716.20911821,760141855.626206,1571097600000,18
2019-10-15,okb,2.409217376180327,59872510.35001466,721981828.457595,1571097600000,19
2019-10-15,dash,71.0545012676807,303779147.38186544,646614585.8296436,1571097600000,20
2019-10-15,ethereum-classic,4.788993297819412,514203404.043258,547218274.8837991,1571097600000,21
2019-10-15,neo,7.4224891711728835,210895400.51420417,523088998.27883226,1571097600000,22
2019-10-15,usd-coin,1.001489261410135,224394296.354661,470233770.8283937,1571097600000,23
2019-10-15,ontology,0.6402615550716099,87527321.56185359,417204562.1683634,1571097600000,24
2019-10-15,crypto-com-chain,0.0343669074467821,9229161.927907888,371704056.1612939,1571097600000,25
2019-10-15,dogecoin,0.0025306282098702,81764771.12395075,307774067.38058585,1571097600000,26
2019-10-15,basic-attention-token,0.2146580121634715,40616836.44738909,290376613.5697072,1571097600000,27
2019-10-15,zcash,37.0518709239618,103597346.3634827,282705543.57563525,1571097600000,28
2019-10-15,vechain,0.0036405663186752,65087910.00035952,229389914.140918,1571097600000,29
2019-10-15,0x,0.3313954179368196,65937851.68127508,199077710.12724647,1571097600000,30
2019-10-15,true-usd,0.99759845550338,426098294.7877328,187844645.13454312,1571097600000,31
2019-10-15,qtum,1.82369902299896,169314531.80258974,175198790.26233345,1571097600000,32
2019-10-15,decred,16.104303969422006,7700926.751240131,169567586.5522283,1571097600000,33
2019-10-15,ravencoin,0.0362626216656938,21475693.677588336,168021872.19409364,1571097600000,34
2019-10-15,holotoken,0.000813788050396,6693176.08340044,144098693.2885634,1571097600000,35
2019-10-15,terra-luna,0.6668531988876708,1756790.79850248,126498777.36314736,1571097600000,36
2019-10-15,algorand,0.2678085673347587,62692892.96673626,118698299.5804876,1571097600000,37
2019-10-15,swipe,1.9181159241878172,18103469.84225964,115743494.69444688,1571097600000,38
2019-10-15,digibyte,0.0086171815589319,2367698.6281470773,106349190.36005284,1571097600000,39
2019-10-15,nano,0.7834059086896049,1841037.8517464711,104371825.67373036,1571097600000,40
2019-10-15,kucoin-shares,1.1287304308053074,7220144.447677511,99114660.48321556,1571097600000,41
2019-10-15,siacoin,0.0022856675515101,17867284.42183889,96385997.17149375,1571097600000,42
2019-10-15,waves,0.8771296604123925,14796635.363184942,88122524.30988114,1571097600000,43
2019-10-15,theta-token,0.08656050794623,989029.5168027622,86480859.77553956,1571097600000,44
2019-10-15,icon,0.1736616667096565,32826818.10641115,86354919.18053976,1571097600000,45
2019-10-15,verge,0.0039048779504943,2241325.380584401,62451302.30490516,1571097600000,46
2019-10-15,iostoken,0.004931368822757,11732586.571921518,59165571.38721375,1571097600000,47
2019-10-15,quant-network,5.749601049699583,3493146.8287269645,57457747.40875472,1571097600000,48
2019-10-15,enjincoin,0.0633108549821273,1575147.7562511135,55500813.1367151,1571097600000,49
2019-10-15,zilliqa,0.0057307486090204,5929344.540165436,53003527.25889798,1571097600000,50
2019-10-15,nexo,0.0932049613966823,8706491.481247084,52139739.46973432,1571097600000,51
2019-10-15,golem,0.0515439645983933,7980969.025444132,50484736.12589638,1571097600000,52
2019-10-15,status,0.0130704406838247,20517433.09277286,46328687.73753599,1571097600000,53
2019-10-15,havven,0.5268905529366639,97156.31546875989,45721060.42750762,1571097600000,54
2019-10-15,decentraland,0.0324278658806907,10176767.829830008,43038670.01029336,1571097600000,55
2019-10-15,aelf,0.0820813818629885,8730990.872675667,37826629.11617731,1571097600000,56
2019-10-15,stratis,0.3721950218990132,1507607.0492121964,37042517.56515801,1571097600000,57
2019-10-15,matic-network,0.0152518360052002,42230307.71251894,33432953.564620264,1571097600000,58
2019-10-15,loopring,0.0313417614244036,3761343.7989619826,30307791.843906205,1571097600000,59
2019-10-15,zencash,3.452342051568446,2548053.853448449,25967421.37067347,1571097600000,60
2019-10-15,funfair,0.0040309053139588,465359.65659215424,24226309.48418644,1571097600000,61
2019-10-15,iotex,0.0058167599630743,1954832.7290426197,23963073.55810543,1571097600000,62
