timestamp,price,volume,market_cap,date,coin_id,rank
1617321600000,58801.194844,54320681400.56781,1098583823874.2308,2021-04-02,bitcoin,1
1617321600000,1970.4712,32076778812.4586,227187483748.82776,2021-04-02,ethereum,2
1617321600000,335.834185,4712826090.978723,52021709574.684296,2021-04-02,binancecoin,3
1617321600000,1.000736,114529212306.29211,40835188151.576355,2021-04-02,tether,4
1617321600000,1.183433,2627207220.454189,37885255531.37811,2021-04-02,cardano,5
1617321600000,37.624663,2112188584.279794,36943423386.29301,2021-04-02,polkadot,6
1617321600000,0.570618,4048061361.321769,26156246584.42219,2021-04-02,ripple,7
1617321600000,28.709079,1060884094.16275,14932924434.375237,2021-04-02,uniswap,8
1617321600000,202.740056,5521685342.201195,13533388233.860222,2021-04-02,litecoin,9
1617321600000,30.113326,1737067283.995446,12533071757.561026,2021-04-02,chainlink,10
1617321600000,187.610689,9084876444.16744,11982302303.368631,2021-04-02,filecoin,11
1617321600000,11.519977,613639060.266893,11514319689.05315,2021-04-02,theta-token,12
1617321600000,0.999717,1458168422.213789,10874663109.108192,2021-04-02,usd-coin,13
1617321600000,556.508199,5006426472.074506,10399178181.913015,2021-04-02,bitcoin-cash,14
1617321600000,0.430935,1314764720.183951,9812653669.439615,2021-04-02,stellar,15
1617321600000,58830.310161,237408297.925194,8249099340.354365,2021-04-02,wrapped-bitcoin,16
1617321600000,0.061593,5955711021.80794,7924888032.648992,2021-04-02,dogecoin,17
1617321600000,18.420998,364915187.120557,7164929415.786989,2021-04-02,terra-luna,18
1617321600000,0.086144,6080759410.958924,6185926428.28518,2021-04-02,tron,19
1617321600000,0.088739,852797553.607526,5785080929.187819,2021-04-02,vechain,20
1617321600000,0.219885,262083823.540432,5557458629.57679,2021-04-02,crypto-com-chain,21
1617321600000,5.569936,7148561791.848687,5293164104.122875,2021-04-02,eos,22
1617321600000,19.055451,213522852.924449,5115358904.3969,2021-04-02,solana,23
1617321600000,383.019018,531225961.234865,4793666899.119867,2021-04-02,aave,24
1617321600000,19.492035,802483771.026637,4640892111.940545,2021-04-02,cosmos,25
1617321600000,17.08546,271851279.033939,4531537765.218959,2021-04-02,okb,26
1617321600000,249.598015,654806248.704622,4438583308.614946,2021-04-02,monero,27
1617321600000,1.578578,150111909.683471,4391363683.415004,2021-04-02,iota,28
1617321600000,228.809261,1334327559.482597,4267908985.331245,2021-04-02,bitcoin-cash-sv,29
1617321600000,463.956563,646543098.322779,4168095829.440897,2021-04-02,kusama,30
1617321600000,5.101002,658846458.560301,3896074729.808557,2021-04-02,tezos,31
1617321600000,39.524783,27827479.373145,3747534041.310192,2021-04-02,compound-ether,32
1617321600000,52.479368,1281835396.092584,3699956601.795033,2021-04-02,neo,33
1617321600000,28.352805,179940714.248382,3628818616.841701,2021-04-02,avalanche-2,34
1617321600000,0.999485,3544336760.656955,3529127382.27706,2021-04-02,binance-usd,35
1617321600000,1.327243,441295826.331961,3472590785.483107,2021-04-02,algorand,36
1617321600000,0.01756,810104143.779065,3116390142.60891,2021-04-02,holotoken,37
1617321600000,1.001059,335827806.783188,2962556909.510822,2021-04-02,dai,38
1617321600000,19.111935,208531588.146495,2832507309.286313,2021-04-02,havven,39
1617321600000,0.353634,209045094.019575,2799081807.895977,2021-04-02,hedera-hashgraph,40
1617321600000,0.489711,433529151.80483,2677290843.082185,2021-04-02,chiliz,41
1617321600000,149.586048,135759355.451692,2608122393.185458,2021-04-02,elrond-erd-2,42
1617321600000,17.186109,390932572.276538,2515884107.597838,2021-04-02,pancakeswap-token,43
1617321600000,233.361754,1327017919.774294,2349975441.962565,2021-04-02,dash,44
1617321600000,2.491501,417497353.671397,2332223340.502761,2021-04-02,enjincoin,45
1617321600000,181.457246,28396893.831386,2317882806.5518,2021-04-02,decred,46
1617321600000,450.561413,237958368.945223,2191805501.585832,2021-04-02,compound-governance-token,47
1617321600000,1.776095,447698765.30844,2181654244.489084,2021-04-02,the-graph,48
1617321600000,0.179665,219985511.614449,2136557916.099788,2021-04-02,zilliqa,49
1617321600000,14.889716,536798724.080743,2089950939.851016,2021-04-02,sushi,50
1617321600000,5.987223,86841023.270637,2012040267.435422,2021-04-02,near,51
1617321600000,8.442806,134023502.165042,1960064479.410862,2021-04-02,thorchain,52
1617321600000,2.030101,2619304.290091,1946727139.155083,2021-04-02,leo-token,53
1617321600000,0.364126,246934364.95326,1823902343.37222,2021-04-02,matic-network,54
1617321600000,165.69607,1550569934.591758,1817329880.971463,2021-04-02,zcash,55
1617321600000,1.154875,394859091.246095,1722894682.343721,2021-04-02,basic-attention-token,56
1617321600000,2.817605,201803523.672353,1678928665.41614,2021-04-02,icon,57
1617321600000,14.381121,1868883053.612953,1672809006.549112,2021-04-02,ethereum-classic,58
1617321600000,0.176138,221851257.932588,1652537192.1248,2021-04-02,harmony,59
1617321600000,0.999266,76712237.946635,1648440935.841902,2021-04-02,terrausd,60
1617321600000,0.193628,276916591.909293,1640084025.626907,2021-04-02,ravencoin,61
1617321600000,0.009633,65569167.778297,1605035584.517679,2021-04-02,ecomi,62
1617321600000,24.81101,383100431.718435,1595136459.781135,2021-04-02,mask-network,63
1617321600000,2.782172,7262136.511255,1563563451.405164,2021-04-02,nexo,64
1617321600000,1.962501,430667580.394105,1478532186.254097,2021-04-02,0x,65
1617321600000,24.222725,77021299.44506,1457061674.028719,2021-04-02,uma,66
1617321600000,1.732282,994891671.839068,1405590601.131198,2021-04-02,ontology,67
1617321600000,0.029301,425194665.318793,1387228279.553433,2021-04-02,siacoin,68
