coin_id,name,symbol,is_stablecoin,is_wrapped_coin,confidence,stablecoin_categories,wrapped_categories,all_categories,last_updated
coinbase-wrapped-staked-eth,Coinbase Wrapped Staked ETH,cbeth,False,True,high,,Crypto-Backed Tokens;Wrapped-Tokens;Liquid Staking Tokens;Liquid Staked ETH;Liquid Staking,Crypto-Backed Tokens;Wrapped-Tokens;Polygon Ecosystem;Arbitrum Ecosystem;Liquid Staking Tokens;Ethereum Ecosystem;Optimism Ecosystem;Base Ecosystem;Liquid Staked ETH;Liquid Staking,2025-07-11T04:57:45.292278+00:00
drift-staked-sol,Drift Staked SOL,dsol,False,True,high,,Liquid Staking Tokens;Liquid Staking,Solana Ecosystem;Liquid Staking Tokens;Liquid Staked SOL;Liquid Staking,2025-07-11T04:58:09.101715+00:00
ethena-staked-usde,Ethena Staked USDe,susde,False,True,high,,Liquid Staking Tokens,Liquid Staking Tokens;Ethereum Ecosystem;Yield-Bearing Stablecoin,2025-07-11T04:58:15.651010+00:00
ether-fi-staked-btc,Ether.fi Staked BTC,ebtc,False,True,high,,Liquid Staking,Decentralized Finance (DeFi);Ethereum Ecosystem;Restaking;Liquid Restaking Tokens;Liquid Staking;Liquid Staked BTC,2025-07-11T04:58:17.282258+00:00
frax-share,Frax (prev. FXS),frax,False,True,high,,Liquid Staking,Decentralized Exchange (DEX);Decentralized Finance (DeFi);Yield Farming;Automated Market Maker (AMM);BNB Chain Ecosystem;Seigniorage;Solana Ecosystem;Avalanche Ecosystem;Polygon Ecosystem;Fantom Ecosystem;Harmony Ecosystem;Arbitrum Ecosystem;Moonriver Ecosystem;Ethereum Ecosystem;Liquid Staking Governance Tokens;Curve Ecosystem;Stablecoin Protocol;Polygon zkEVM Ecosystem;Evmos Ecosystem;GMCI DeFi Index;Liquid Staking;GMCI Index;Made in USA,2025-07-11T04:58:29.139468+00:00
frax-ether,Frax Ether,frxeth,False,True,high,,Liquid Staking Tokens;Liquid Staking,Decentralized Finance (DeFi);BNB Chain Ecosystem;Polygon Ecosystem;Fantom Ecosystem;Arbitrum Ecosystem;Moonbeam Ecosystem;Liquid Staking Tokens;Ethereum Ecosystem;Optimism Ecosystem;Polygon zkEVM Ecosystem;Liquid Staking;Made in USA,2025-07-11T04:58:28.598102+00:00
ignition-fbtc,Function ƒBTC,fbtc,False,True,high,,Crypto-Backed Tokens,Crypto-Backed Tokens;BNB Chain Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Mantle Ecosystem,2025-07-11T04:58:47.325790+00:00
haedal,Haedal Protocol,haedal,False,True,high,,Liquid Staking,Decentralized Finance (DeFi);BNB Chain Ecosystem;Liquid Staking Governance Tokens;Liquid Staking;Binance Alpha Spotlight,2025-07-11T09:54:14.029344+00:00
infrared-bera,Infrared Bera,ibera,False,True,high,,Liquid Staking Tokens;Liquid Staking,Decentralized Finance (DeFi);Liquid Staking Tokens;Berachain Ecosystem;Liquid Staking,2025-07-11T04:58:50.775887+00:00
jito-governance-token,Jito,jto,False,True,high,,Liquid Staking,Decentralized Finance (DeFi);Solana Ecosystem;Liquid Staking Governance Tokens;Multicoin Capital Portfolio;Alameda Research Portfolio;Delphi Ventures Portfolio;Liquid Staking;Made in USA,2025-07-11T04:58:55.689166+00:00
jito-staked-sol,Jito Staked SOL,jitosol,False,True,high,,Liquid Staking Tokens;Liquid Staking,Solana Ecosystem;Liquid Staking Tokens;Neon Ecosystem;Liquid Staked SOL;Liquid Staking,2025-07-11T04:58:56.303056+00:00
jupiter-staked-sol,Jupiter Staked SOL,jupsol,False,True,high,,Liquid Staking Tokens;Liquid Staking,Solana Ecosystem;Liquid Staking Tokens;Liquid Staked SOL;Liquid Staking,2025-07-11T04:58:58.305149+00:00
kelp-dao-restaked-eth,Kelp DAO Restaked ETH,rseth,False,True,high,,Liquid Staking Tokens;Liquid Staked ETH;Liquid Staking,Liquid Staking Tokens;Ethereum Ecosystem;Restaking;Liquid Restaking Tokens;Liquid Staked ETH;Liquid Staking,2025-07-11T04:59:04.687371+00:00
kofi-aptos,Kofi Aptos,kapt,False,True,high,,Liquid Staking Tokens,Liquid Staking Tokens;Aptos Ecosystem;Liquid Staked APT	,2025-07-11T09:54:43.920601+00:00
